Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Tue Mar 24 17:10:39 2020
Invocation: foremost WindowsXP.img -T 
Output directory: /home/ashu/Downloads/tamu20/output_Tue_Mar_24_17_10_39_2020
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: WindowsXP.img
Start: Tue Mar 24 17:10:39 2020
Length: 3 GB (3221225472 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00076948.jpg 	       5 KB 	   39397520 	 
1:	00076959.jpg 	       3 KB 	   39403136 	 
2:	00076966.jpg 	       5 KB 	   39406928 	 
3:	00076977.jpg 	       7 KB 	   39412360 	 
4:	00076991.jpg 	       1 MB 	   39419832 	 
5:	00004346.gif 	       60 B 	    2225432 	  (12 x 16)
6:	00004346_1.gif 	       82 B 	    2225496 	  (13 x 16)
7:	00004346_2.gif 	      114 B 	    2225584 	  (16 x 16)
8:	00004357.gif 	       1 KB 	    2231288 	  (39 x 44)
9:	00004360.gif 	       1 KB 	    2232432 	  (39 x 44)
10:	00004370.gif 	       2 KB 	    2237448 	  (86 x 86)
11:	00004374.gif 	      819 B 	    2239800 	  (36 x 31)
12:	00004376.gif 	       4 KB 	    2240624 	  (363 x 103)
13:	00004439.gif 	       1 KB 	    2273088 	  (36 x 38)
14:	00004441.gif 	      182 B 	    2274152 	  (25 x 33)
15:	00004442.gif 	      881 B 	    2274344 	  (16 x 16)
16:	00004443.gif 	      882 B 	    2275232 	  (16 x 16)
17:	00004445.gif 	      870 B 	    2276120 	  (16 x 16)
18:	00004447.gif 	      882 B 	    2276992 	  (16 x 16)
19:	00004448.gif 	      887 B 	    2277880 	  (16 x 16)
20:	00004450.gif 	      873 B 	    2278768 	  (16 x 16)
21:	00004452.gif 	      873 B 	    2279648 	  (16 x 16)
22:	00004454.gif 	      873 B 	    2280528 	  (16 x 16)
23:	00004455.gif 	      864 B 	    2281408 	  (16 x 16)
24:	00004457.gif 	      872 B 	    2282272 	  (16 x 16)
25:	00004459.gif 	      873 B 	    2283144 	  (16 x 16)
26:	00004460.gif 	      864 B 	    2284024 	  (16 x 16)
27:	00004462.gif 	      963 B 	    2284888 	  (16 x 16)
28:	00004464.gif 	      973 B 	    2285856 	  (16 x 16)
29:	00004466.gif 	      875 B 	    2286832 	  (16 x 16)
30:	00004468.gif 	      942 B 	    2287712 	  (16 x 16)
31:	00004470.gif 	       3 KB 	    2288656 	  (16 x 16)
32:	00118468.gif 	       51 B 	   60655984 	  (3 x 3)
33:	00118468_1.gif 	       50 B 	   60656040 	  (3 x 3)
34:	00118468_2.gif 	      234 B 	   60656096 	  (25 x 33)
35:	00118469.gif 	       1 KB 	   60656336 	  (94 x 17)
36:	00118473.gif 	      387 B 	   60658280 	  (16 x 16)
37:	00118473_1.gif 	     1015 B 	   60658672 	  (16 x 16)
38:	00118475.gif 	      381 B 	   60659688 	  (16 x 15)
39:	00118476.gif 	      653 B 	   60660072 	  (16 x 18)
